Банк,Вклад,Валюта,Доходность,Минимальная сумма,Максимальная сумма,Минимальный срок,Максимальный срок,Возможность пополнения
Газпромбанк,Ваш успех,RUB,6.22,50000,,12,12,FALSE
Кредит Европа Банк,Оптимальный на 2 года,RUB,6.45,100000,,24,24,FALSE
Банк Зенит,Праздничный 500+,RUB,6,30000,,17,17,FALSE
Еврофинанс Моснарбанк,Классический,RUB,6.95,30000,,12,24,FALSE
Джей энд Ти Банк,Магнус-Онлайн,RUB,6.8,100000,,6,6,FALSE
МТС Банк,В вашу пользу,RUB,6.75,50000,,12,12,TRUE
Эс-Би-Ай Банк,Свои правила Онлайн,RUB,6.7,30000,30000000,24,24,FALSE
Банк Уралсиб,Прогноз отличный,RUB,6.7,100000,,37,37,FALSE
Инвестторгбанк,ИТБ-Постоянный доход,RUB,6.6,50000,,37,37,FALSE
Транскапиталбанк,ТКБ.Постоянный доход,RUB,6.6,50000,,37,37,FALSE
Совкомбанк,Зимний праздник с Халвой,RUB,5.6,50000,,2,2,TRUE
Агророс,Медовый месяц,RUB,5.51,20000,,1,1,TRUE
Росдорбанк,Онлайн-1,RUB,5.1,100000,150000000,1,1,TRUE
Национальный Стандарт,Сберегательный стандарт,RUB,5.1,100000,,1,3,TRUE
Россия,Морозные узоры,RUB,5,100000,,1,1,TRUE
Кузнецкий Мост,Накопительный,RUB,4.85,50000,,1,3,TRUE
Тексбанк,Универсальный,RUB,4.6,10000,,1,1,TRUE
Морской Банк,Правильным курсом +,RUB,4.55,100000,,1,3,TRUE
Норвик Банк,Лаконичный,RUB,4.5,500,50000000,1,1,TRUE
Промсельхозбанк,Конструктор,RUB,4.5,10000,,1,3,TRUE
Акибанк,Онлайн,RUB,6.5,1000,,6,6,TRUE
Банк БКФ,Ключевой стандарт,RUB,6.5,100000,,6,13,TRUE
Экспобанк,Специальный (в конце срока),RUB,6.35,50000,10000000,6,6,TRUE
Инвестторгбанк,ИТБ-Пополняемый,RUB,6.15,50000,30000000,6,6,TRUE
Транскапиталбанк,ТКБ.Пополняемый,RUB,6.15,50000,30000000,6,6,TRUE
Евроазиатский Инвестиционный Банк,Классика,RUB,6.1,100000,,6,12,TRUE
Тимер Банк,Надежный выбор,RUB,6,10000,,6,6,TRUE
Евразийский Банк,TURBO MAXIMUM,RUB,6,30000,299999,6,6,TRUE
Таврический Банк,Достижимый (онлайн),RUB,6,50000,,6,6,TRUE
Экспобанк,Юбилейный 25 (в конце срока),RUB,6.5,100000,20000000,12,12,TRUE
Крокус-Банк,Ежемесячный доход,RUB,6.35,50000,,12,12,TRUE
Промсельхозбанк,Ваш выбор,RUB,6.3,10000,,12,12,TRUE
Нацинвестпромбанк,Прибыльный,RUB,6.3,50000,,12,12,TRUE
Ишбанк,Накопительный,RUB,6.25,100000,,12,12,TRUE
Примсоцбанк,Новогодний чулок (333 дня),RUB,6.2,10000,,11,11,TRUE
Еврофинанс Моснарбанк,Пополняемый,RUB,6.75,1000000,,12,24,TRUE
Евроазиатский Инвестиционный Банк,VIP,RUB,6.35,1000000,,9,12,TRUE
Российская Финансовая Корпорация,Универсальный,RUB,6,5000,,3,3,TRUE
Московский Кредитный Банк,МЕГА Онлайн,RUB,5.8,1000,,3,5,TRUE
Александровский,Черника 19/20,RUB,5.6,20000,,3,3,TRUE
Финанс Бизнес Банк,Мандариновый!,RUB,5.6,50000,,3,3,TRUE
ЦентроКредит,Доход Плюс,USD,1.15,5000,,3,3,TRUE
Совкомбанк,Удобный (в долларах),USD,1,500,,3,6,TRUE
Веста,Веста - Копилка,USD,1,10000,,3,6,TRUE
Славия,Славный Капитал,USD,0.85,5000,,3,4,TRUE
Роскосмосбанк,Комфортный,USD,0.8,500,,3,6,TRUE
ФорБанк,Срочный накопительный,USD,0.8,10000,500000,3,3,TRUE
Московский Областной Банк,Гарантированный доллар,USD,0.75,50,,4,4,TRUE
Объединенный Резервный Банк,ОРБ-Накопительный (в конце срока),USD,1.6,1000,,12,12,TRUE
Банк Агора,Срочный,USD,1.5,1000,,12,12,TRUE
Тинькофф Банк,СмартВклад (с повышенной ставкой),USD,1.5,1000,,12,12,TRUE
Первый Инвестиционный Банк,Закон сохранения,USD,1.5,1000,,12,12,TRUE
Новый Век,Сберегательный,USD,1.5,5000,20000,12,12,TRUE